idDTE,dateEvent
a3806a7b-d359-4cd6-a453-de83723fc862,26/07/2020
d21fe79b-25c0-40af-8f25-f4e06a18b4d8,26/07/2020
258d16ac-f68f-44f9-afe9-671dd356e850,26/07/2020
769a1bc5-9075-48d1-a4e8-6e0135a8413f,26/07/2020
415741cf-c043-4149-843f-18c65cac9d0b,26/07/2020
1993fe31-dfc2-4413-9083-8a552268d4a0,26/07/2020
707f6717-4441-452c-bcaa-5bc9722a7e18,26/07/2020
860a9090-62bb-48eb-9fc2-f6ea4827b088,26/07/2020
8837dada-cf64-45ee-932f-0be367d51dcc,26/07/2020
40f9401b-847c-4fb0-a204-791f4b68ca8c,26/07/2020
b15a184a-9533-4df0-ae2a-926b1e59edb8,26/07/2020
c1d66233-0577-4a5e-a33d-53540de13e84,26/07/2020
e8cf0414-1d0f-4db6-96df-c5dbca44cccf,26/07/2020
39379a69-5786-4be0-a4c1-4c3cfb908e1a,26/07/2020
d049759d-aa20-4645-9771-5bdb68716946,26/07/2020
e09865b6-48ac-4566-a4e5-e1d6227aca8b,26/07/2020
153f19e1-9179-4002-9626-ed86b099d7d4,26/07/2020
12d8bac0-4da4-473f-b11c-19bf7de0e854,26/07/2020
edf9fc77-688a-468e-9e5f-80503c71f145,26/07/2020
8c773b18-8222-4b21-918f-0f0bd6669ebf,26/07/2020
0b5f313e-0f34-4201-b691-8e4e7a056550,26/07/2020
4703216a-7ea4-44a3-82fb-76479f4ab44e,26/07/2020
4f6ff646-684c-4ab8-8a72-66b4c86d2e1e,26/07/2020
4bc45208-b4cc-4005-bdbb-8ee0fc5be449,26/07/2020
9141cfee-ca2c-4691-a6f3-fcbfb7297eb3,26/07/2020
7f864e81-8ed8-4e8e-a640-a536f2786a6c,26/07/2020
06da8570-dc6d-4b6e-b4ee-cb4cb73e40b8,26/07/2020
24bd16f1-9b76-486e-acf6-31ca4a460a1b,26/07/2020
7ee5664e-83c3-4577-824a-b7c598c64645,26/07/2020
69389a02-0b32-431f-8d2c-e38cad151aa7,26/07/2020
11b4dea3-2583-49a2-82df-efdb5ce4cd6b,26/07/2020
85d43c05-8940-479f-9637-902c91da91ad,26/07/2020
e41fa595-9d6e-4c92-8985-1fad19150e3c,26/07/2020
a9dd0a7c-7f48-4089-85e2-601711ff7342,26/07/2020
9986ec9c-e6c6-4231-bb7a-7b677e1a0a82,26/07/2020
62ea3b38-b602-4204-a9fb-cf216a39115a,26/07/2020
4f3f7613-f123-449c-8ecc-2dee6550181c,26/07/2020
8afcc3b0-679d-4146-adbe-72df273cc8cc,26/07/2020
c3431a15-3d76-496f-932a-0d36a007ce87,26/07/2020
2b041d16-5f18-4bfb-8b01-ffb5f0de5987,26/07/2020
6ccfb71d-f515-4660-b774-7b9f0a073ca7,26/07/2020
f1518bae-cfe0-4b90-8d44-491933f7b152,26/07/2020
d4ecef29-c8f9-4690-9edf-7ac8de961cc1,26/07/2020
00ac8c9d-1e95-4257-8d32-f4fcf9f5702a,26/07/2020
1d0b121b-9060-4947-938e-431917a28b8b,26/07/2020
5a75d0d1-daab-41cf-9021-8770e9159d39,26/07/2020
515ee419-9f0a-485e-ada8-a32184c387d4,26/07/2020
97326dd8-22b8-47e0-a110-a81b312a25a5,26/07/2020
fb467543-841a-43e4-806e-477b4a334d44,26/07/2020
cc93666c-a180-4eaa-aa45-497a97f007d7,26/07/2020
f3620631-248e-465b-a807-6215dc452c1c,26/07/2020
3a37fc06-e09b-4fe3-a438-651310b1412c,26/07/2020
467b2d6c-dac9-48ac-9d0b-3653e34b83ed,26/07/2020
fc92afc8-99a4-47c5-b6e3-ac7e3eb0bd48,26/07/2020
25ba69fd-107f-463c-aae9-1ba861115263,26/07/2020
bb340eaa-a6f7-4540-addd-dcc49936f72a,26/07/2020
28abe602-d60d-4373-abc6-458295470fec,26/07/2020
41c9e14f-03d6-4cb3-81f5-a23fd34ba7de,26/07/2020
7883d611-4c78-49cf-b7d2-9b61a3d2ef43,26/07/2020
bae5cb30-d459-4f5e-a03f-a4f025e058a7,26/07/2020
6c566bce-551f-4343-891e-557abf570079,26/07/2020
d4200efc-f45b-40c3-bbf5-eedac65a0cc4,26/07/2020
133e656a-b8cc-4e5d-984b-4bccf5635486,26/07/2020
bcdc7453-c5b2-4376-8beb-48852a9e06e3,26/07/2020
8744ad90-4309-4259-98dd-b22e7260f7fc,26/07/2020
471641b3-ba54-4851-9736-c04c7cbde399,26/07/2020
3e65bcaf-d1ee-4c45-8af6-f0b4551ce442,26/07/2020
0cdadf9e-713c-4e8a-a01f-5f65432d611a,26/07/2020
0724b37f-deef-46fb-8151-80952514be70,26/07/2020
2320b1a4-cebf-4cb1-8577-02027f63ff95,26/07/2020
4112b991-a4dc-4985-a574-53c96fdb7ca2,26/07/2020
f6ab5102-52b9-4450-87d8-7946c4191893,26/07/2020
72e23144-38e9-40c7-96a9-3c856bbec6a1,26/07/2020
ed642eb3-3d0d-4f8f-b881-b358e48fb0aa,26/07/2020
8bee1ae7-5436-4844-9484-7134da74fbf6,26/07/2020
a97effa8-3389-4b76-9175-f4c8fb55c658,26/07/2020
bbc2bab1-ec46-4af1-b6b4-3b46488636c9,26/07/2020
a7202f82-2a16-4f41-b5c1-724fc47f5f8a,26/07/2020
6690f470-2f42-4f45-b7d4-d5e58320399f,26/07/2020
3552f7e6-2359-4694-9c78-08dc49797eba,26/07/2020
f31f1b3e-4cec-4935-9c89-27d90697d835,26/07/2020
7e0ead57-1d48-435a-bba4-c52f23a03879,26/07/2020
e63c848d-dcdb-4de2-b62d-ea894ec53885,26/07/2020
ad2a664d-0307-4d7d-9d0c-f81f8458c594,26/07/2020
d90d624d-de58-4104-9399-2c25eeb14dfb,26/07/2020
830866e5-9bd0-44e7-bd21-09794c8103ee,26/07/2020
700fcb61-6bcb-4bdb-b1b2-93a5f1e27403,26/07/2020
3bc4c739-ec9b-4ea1-92aa-c7a018e0d46e,26/07/2020
c8dff566-313c-40ca-bf1f-62a681af1af2,26/07/2020
5d09f233-fc58-475d-9b50-a3d4eb0358fa,26/07/2020
95fc4c81-3901-4527-b9db-45a2a47ca6d2,26/07/2020
32422eaa-fc99-4cc7-b9fa-abc23b99921a,26/07/2020
39276ca5-2d52-42e2-b505-1691ffc5e157,26/07/2020
46f4d332-680a-41ec-ba48-919610ce7dee,26/07/2020
ac56cbe4-3a48-4152-a154-8e239e4c30a1,26/07/2020
5e52da0b-8a9f-4e2e-a29e-557a7fad03be,26/07/2020
260211b8-80c2-4708-a3ed-a90599a72bf3,26/07/2020
cc04bda7-7f6f-429b-b81f-8a249853f963,26/07/2020
a29985be-5b57-42bb-8fb4-f63c610b85d9,26/07/2020
d0c3d596-9d5a-4712-a9b0-7d76748441e2,26/07/2020
